model_family,model_name,input_features,feature_selection,inference_type,result_role,legacy_warning,n_subjects,n_positive,n_negative,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc,source_file,model,status,skip_reason,contrast,model_key,interpretation,reproduce_command,availability,row_type,ablation_name,ablation_description,n_input_columns,explainability_alignment,label_definition,threshold_type,residual_threshold,margin,n_excluded_near_threshold
Traditional ML,ML_EEG_updated_selectk100_logistic_l1,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,exploratory_ml_reference,,19.0,10.0,9.0,0.4736842105263157,0.4722222222222222,0.5,0.4444444444444444,0.5,0.5,0.3068675593658492,0.4444444444444444,0.5495546038928392,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
Traditional ML,ML_EEG_updated_selectk100_logistic_l2,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,exploratory_ml_reference,,19.0,10.0,9.0,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.2071648198306706,0.7666666666666666,0.7934371184371183,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
Traditional ML,ML_EEG_updated_selectk100_random_forest,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,exploratory_ml_reference,,19.0,10.0,9.0,0.3684210526315789,0.3666666666666667,0.4,0.3333333333333333,0.4,0.4,0.2874486842105263,0.3166666666666667,0.4447394220846233,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
Traditional ML,ML_EEG_updated_selectk100_svm_linear,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,exploratory_ml_reference,,19.0,10.0,9.0,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.2161673558607981,0.6777777777777778,0.6742307692307692,paper_locked_model_performance.csv,,,,,,,,,,,,,,,,,,
clinical_only,,baseline clinical only,none,,,,19.0,10.0,9.0,0.9473684210526316,0.9444444444444444,1.0,0.8888888888888888,0.9090909090909092,0.9523809523809524,0.0714309063974169,0.8888888888888888,0.7980122655122655,clinical_only_model_comparison.csv,clinical_only_logistic_l1,trained,,,,,,,,,,,,,,,,
clinical_only,,baseline clinical only,none,,,,19.0,10.0,9.0,0.8421052631578947,0.8388888888888889,0.9,0.7777777777777778,0.8181818181818182,0.8571428571428571,0.1045278284493011,0.9111111111111112,0.8987698412698412,clinical_only_model_comparison.csv,clinical_only_logistic_l2,trained,,,,,,,,,,,,,,,,
clinical_only,,baseline clinical only,none,,,,19.0,10.0,9.0,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.1318671548970195,0.8666666666666667,0.7840262515262515,clinical_only_model_comparison.csv,clinical_only_svm_rbf,trained,,,,,,,,,,,,,,,,
clinical_only,,baseline clinical only,none,,,,19.0,10.0,9.0,0.8421052631578947,0.8444444444444444,0.8,0.8888888888888888,0.8888888888888888,0.8421052631578947,0.1566815789473684,0.8666666666666667,0.7822546897546898,clinical_only_model_comparison.csv,clinical_only_random_forest,trained,,,,,,,,,,,,,,,,
clinical_only,,baseline clinical only,none,,,,19.0,10.0,9.0,0.8947368421052632,0.8944444444444444,0.9,0.8888888888888888,0.9,0.9,0.0700969910455433,0.8888888888888888,0.7980122655122655,clinical_only_model_comparison.csv,clinical_only_gaussian_nb,trained,,,,,,,,,,,,,,,,
clinical_only,,baseline clinical only,none,,,,19.0,10.0,9.0,0.8421052631578947,0.8388888888888889,0.9,0.7777777777777778,0.8181818181818182,0.8571428571428571,0.1461988304093567,0.85,0.7873376623376624,clinical_only_model_comparison.csv,clinical_only_knn,trained,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,none,,,,19.0,10.0,9.0,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.3684210526315789,0.6333333333333334,0.6105263157894736,eeg_clinical_incremental_model_comparison.csv,eeg_only_gaussian_nb_none,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,selectk100,,,,19.0,10.0,9.0,0.5263157894736842,0.5333333333333333,0.4,0.6666666666666666,0.5714285714285714,0.4705882352941176,0.4736842105263134,0.6222222222222222,0.601017316017316,eeg_clinical_incremental_model_comparison.csv,eeg_only_gaussian_nb_selectk100,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,none,,,,19.0,10.0,9.0,0.4736842105263157,0.4611111111111111,0.7,0.2222222222222222,0.5,0.5833333333333334,0.3040935672514619,0.6833333333333333,0.7651315789473684,eeg_clinical_incremental_model_comparison.csv,eeg_only_knn_none,reference,,,,,,,,,,,,,,,,
