feature_id,k,n_selected,n_seeds,selection_frequency,feature_family,stability_metric,seed_a,seed_b,spearman_corr,jaccard_similarity,mean_abs_attribution,bootstrap_ci_low,bootstrap_ci_high,n_subjects,validation_source,group_name,delta_probability
EC|TP8|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|AF3|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP1|Theta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP5|Theta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F3|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F3|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC3|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC3|Beta Low,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC4|Beta Medium,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC5|Beta Medium,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP1|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP2|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FPZ|Beta Medium,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FT7|Theta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P1|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P3|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P7|Beta High,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|POZ|Delta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|TP7|Theta,20.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C5|Beta High,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F5|Beta High,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F7|Delta,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC3|Beta High,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC4|Beta High,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC4|Beta Medium,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC5|Beta High,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FPZ|Beta High,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|T7|Delta,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|TP7|Beta High,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|TP7|Delta,50.0,9.0,10.0,0.9,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C5|Delta,50.0,8.0,10.0,0.8,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP3|Theta,50.0,8.0,10.0,0.8,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F2|Beta High,50.0,8.0,10.0,0.8,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F4|Beta Medium,50.0,8.0,10.0,0.8,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F5|Beta Medium,50.0,8.0,10.0,0.8,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F5|Delta,50.0,8.0,10.0,0.8,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
