state,channel,channel_index,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,PO5,51,Delta,-7.090566505077965e-05,0.00013882725819310874,0.0013485647158217036,1330,5.721492632902402e-05,0.00022950762693098062,0.00016135172052692256
EC,PO5,51,Gamma,-0.00020415686258301062,0.0002482593918548641,0.0029665245478527357,5890,3.8190322801305677e-05,0.0004816694685810401,0.0002917966922210151
EC,PO5,51,Theta,-6.422542231916677e-05,9.79503562099306e-05,0.0008556357632395037,1520,4.337455031722669e-05,0.00015859014053515712,0.00011340337990744726
EC,PO6,55,Alpha,-2.9708032075945755e-05,6.591853691160143e-05,0.00017849314787705945,1900,5.72993705751076e-05,7.549538839659458e-05,7.300498573640397e-05
EC,PO6,55,Beta High,-2.833638317626218e-05,7.14048035238539e-05,0.00025848055064303313,3420,5.409140575206013e-05,9.06419121591803e-05,8.04899078823941e-05
EC,PO6,55,Beta Low,-3.609782773887722e-05,7.424379088352135e-05,0.00018218660371160944,1900,5.4144714041136204e-05,9.657609848617152e-05,8.333502638176805e-05
EC,PO6,55,Beta Medium,-2.3682047984381898e-05,7.415642468282036e-05,0.00022152436318275098,1140,4.106424386656429e-05,0.00011092551447866042,8.224497824932113e-05
EC,PO6,55,Delta,-1.4718997780667385e-05,8.518356724263596e-05,0.0006721410071743425,1330,5.49634576570412e-05,0.00011876146678218571,9.613091018104344e-05
EC,PO6,55,Gamma,-4.355586443887036e-05,8.016454115488723e-05,0.0005588780841752959,5890,4.333110130596448e-05,0.00012109058543146805,9.075546859234542e-05
EC,PO6,55,Theta,-3.858647871760754e-05,6.308985778282734e-05,0.00016956911481309656,1520,3.705977667295621e-05,9.20121701271286e-05,7.088490367095382e-05
EC,PO7,50,Alpha,-4.8143240657244434e-05,0.00012278546785430154,0.001053149202787502,1900,7.840599677235986e-05,0.0001720959912786812,0.00014251773842551446
EC,PO7,50,Beta High,-0.00010881315154356901,0.0001381465213166542,0.0016063217163578977,3420,3.1263705733557946e-05,0.00025690520529787227,0.00016135338764432794
EC,PO7,50,Beta Low,-7.430936373814526e-05,0.00010852199644442942,0.0011213782523518735,1900,3.46088415104741e-05,0.00019064772414882422,0.00012461406764708056
EC,PO7,50,Beta Medium,-9.655807612851023e-05,0.00012481663132427135,0.001323753259805879,1140,3.031158000403125e-05,0.0002298222439023159,0.00014398101732725872
EC,PO7,50,Delta,4.896962494475643e-05,0.00011346096221624761,0.0016506263146841382,1330,5.9242326078988754e-05,0.00017370389125764637,0.00013142890371479148
EC,PO7,50,Gamma,-9.388889960891322e-05,0.00013390535978842914,0.0017427019336758046,5890,3.9598015401183905e-05,0.00023869129799647938,0.00015519279196821747
EC,PO7,50,Theta,-2.0432957030630932e-05,6.849232405869701e-05,0.0003810334549301858,1520,4.401001647327013e-05,9.569488804250468e-05,7.787620787001727e-05
EC,PO8,56,Alpha,-4.593951320647877e-05,7.347337480102959e-05,0.00022928246811967253,1900,6.56066077342336e-05,8.22142270974696e-05,8.202406928065324e-05
EC,PO8,56,Beta High,-5.464490942763192e-05,9.468969034224856e-05,0.000587804520083646,3420,6.125057755693496e-05,0.00013184426010370812,0.00010882858850055324
EC,PO8,56,Beta Low,-5.3829312127124605e-05,8.32781377180717e-05,0.0002624100204118919,1900,6.728887977432559e-05,0.00010104397987778963,9.423973498962594e-05
EC,PO8,56,Beta Medium,-3.752434954605304e-05,7.489434388371083e-05,0.00019162359592440987,1140,5.002915994621735e-05,0.00010252232603648139,8.379552807393033e-05
EC,PO8,56,Delta,-2.339305092137112e-05,0.00011384946936881451,0.0008005868344148111,1330,7.57203176235396e-05,0.00015621519353023106,0.00013079301102496995
EC,PO8,56,Gamma,-5.5117982459238645e-05,9.52538931557272e-05,0.0007910982072774227,5890,5.141611603872818e-05,0.00014396253439683725,0.00010857391798726925
EC,PO8,56,Theta,-4.1960823474952566e-05,6.400308443148699e-05,0.00016151400423145668,1520,4.2575974047317154e-05,8.781098485834238e-05,7.181812875291464e-05
EC,POZ,53,Alpha,-9.197402489089898e-05,0.00011940526177995469,0.000636564377890557,1900,7.589309742493829e-05,0.00016775211106330627,0.00013823273851560957
EC,POZ,53,Beta High,-3.797857718690687e-05,8.797174699005322e-05,0.0005742453275912047,3420,4.321249716738658e-05,0.00013770424679301617,0.00010167757308249366
EC,POZ,53,Beta Low,-2.8196940172093924e-05,8.112120001803375e-05,0.00027901414180578696,1900,7.523065805202584e-05,8.766624664693142e-05,9.210841653875908e-05
EC,POZ,53,Beta Medium,-4.764574230440024e-05,9.247838914778912e-05,0.0004571721713218425,1140,4.872167056987604e-05,0.00014109696534547034,0.00010729126287549577
EC,POZ,53,Delta,-5.500217682029226e-05,0.00010032979318831415,0.0009206104023057091,1330,5.9759329058056914e-05,0.00014540808666637777,0.00011355859020661459
EC,POZ,53,Gamma,-6.854034472177893e-05,0.00010445209843760837,0.0006026551092432374,5890,3.6153854637960585e-05,0.00018033903599277257,0.00012152602413684812
EC,POZ,53,Theta,-3.095060894394205e-05,6.276670792391354e-05,0.0001670975507294384,1520,4.587684695692473e-05,8.153322010945667e-05,7.044838038296715e-05
EC,PZ,45,Alpha,-0.00010833369736007891,0.00018178711644595906,0.0023972463902747,1900,3.391316277786772e-05,0.00034609150941050497,0.00021354724095972068
EC,PZ,45,Beta High,-8.57809343551752e-05,0.00016030971750674052,0.002115502239796585,3420,3.246944283527378e-05,0.00030235446714170353,0.00018837540569440888
EC,PZ,45,Beta Low,-0.00010242800534708103,0.00013489826139741822,0.0015695820919209519,1900,3.506252210525206e-05,0.0002458268606109361,0.0001566558301034228
EC,PZ,45,Beta Medium,-8.311070361271007e-05,0.00018965616903404077,0.0025527956018092574,1140,2.1874290228647932e-05,0.0003760804788178106,0.0002235596371152508
EC,PZ,45,Delta,4.729195392319893e-05,0.00028012636844286466,0.004922455572216842,1330,2.6141671031224397e-05,0.0005623315877891316,0.0003317579960824118
EC,PZ,45,Gamma,-0.00014478630333015377,0.00017821665446147937,0.0023033866031532966,5890,2.460939219130062e-05,0.00034889139031723355,0.00020857257493066107
EC,PZ,45,Theta,-4.1534757481167965e-05,6.970565932657089e-05,0.0004830653886984682,1520,2.6801158924803252e-05,0.00011737732643964604,8.057913519662854e-05
EC,T7,23,Alpha,-4.5466586636430454e-05,0.00012754677124827965,0.0013205873040831764,1900,4.950981868681882e-05,0.0002142544963165695,0.00014666535517382682
EC,T7,23,Beta High,-3.0412364653209812e-05,7.309258857280898e-05,0.0005719253257152968,3420,4.902680558579971e-05,9.983234744726371e-05,8.188830760169321e-05
EC,T7,23,Beta Low,-4.3781588779673806e-05,9.808135613165455e-05,0.0009252471141213774,1900,5.0911655517298883e-05,0.00015049213459204973,0.00011186983145922845
EC,T7,23,Beta Medium,-0.000110006032940447,0.00013795636363296898,0.0015122703201777324,1140,3.9930852398580186e-05,0.0002468735983378454,0.00016089654326818892
EC,T7,23,Delta,-1.0390898510117981e-05,6.687937098525111e-05,0.0004563595483775803,1330,3.783171294090282e-05,9.915454659008257e-05,7.308360034764632e-05
EC,T7,23,Gamma,-1.9516130102236e-05,7.453705814654675e-05,0.0005388590421033647,5890,4.663856925093469e-05,0.00010553537914167128,8.349897398404102e-05
EC,T7,23,Theta,-2.5598744572405167e-05,6.735903247325968e-05,0.00023867546984887347,1520,2.8688972671624312e-05,0.00011032576558618787,7.666841819908367e-05
EC,T8,31,Alpha,2.9286797038127552e-05,0.00016355733058614596,0.002122610729518873,1900,3.510089519605587e-05,0.00030628670324180167,0.00019275859165587266
EC,T8,31,Beta High,-4.62871502854221e-06,5.841694717263953e-05,0.0005495795148115616,3420,3.357909039116083e-05,8.601456581872698e-05,6.443591008182264e-05
EC,T8,31,Beta Low,-0.00013778249773410852,0.00016596512081669526,0.0019464590684654865,1900,3.9363448109835285e-05,0.00030663364604653973,0.00019149752451796224
EC,T8,31,Beta Medium,-2.670858563882455e-05,6.267164554512552e-05,0.00044335346922507775,1140,3.024242711666977e-05,9.870411046563189e-05,6.841801946258865e-05
EC,T8,31,Delta,-8.973278251476105e-05,0.00020713102682553565,0.0024526908910460507,1330,3.435211035679082e-05,0.0003991076006796966,0.000244492277060452
EC,T8,31,Gamma,3.553990825065876e-05,7.687824084150628e-05,0.0005864637869683189,5890,3.9929686935730904e-05,0.00011793218962570112,8.43080563526931e-05
EC,T8,31,Theta,-0.00010395256628192715,0.0001287755101158191,0.0012137600635918474,1520,2.5528755133348264e-05,0.00024349412676300897,0.00015056885830481832
EC,TP7,32,Alpha,-4.278773346468934e-05,0.00010052030640735653,0.0006392487720087179,1900,7.859203752162758e-05,0.00012488504961372202,0.00011260276483422551
EC,TP7,32,Beta High,-2.1918538855197465e-05,7.162114944768312e-05,0.00042224657485162456,3420,4.245445715300496e-05,0.00010402858533065886,8.093741462343563e-05
EC,TP7,32,Beta Low,-3.466480009634247e-05,6.901523321493477e-05,0.00018078931960132982,1900,5.402672777872196e-05,8.566912814406011e-05,7.677237704606584e-05
EC,TP7,32,Beta Medium,-1.67335257419434e-05,8.381005711373202e-05,0.00048203241581661483,1140,3.945469493344242e-05,0.00013309379286960936,9.359819043426091e-05
EC,TP7,32,Delta,-6.938591534609646e-06,6.442997221375997e-05,0.0004425823008688366,1330,2.919496006658007e-05,0.0001035799857106265,6.939230166875462e-05
EC,TP7,32,Gamma,1.9578131187355427e-06,5.478624955345308e-05,0.00025095118201370355,5890,5.057089022977324e-05,5.946998213531957e-05,5.893949172019728e-05
EC,TP7,32,Theta,-5.409733845761799e-05,8.226619510292809e-05,0.00027875597255222517,1520,2.3177713635852e-05,0.00014792006339967928,9.417224340428373e-05
EC,TP8,40,Alpha,-5.440343631294203e-05,0.00014725749065542848,0.0009893164387280177,1900,3.493160918636495e-05,0.0002720640256210546,0.00017321124736551446
EC,TP8,40,Beta High,-0.00019516952237963472,0.00022731572858418353,0.0012543500239471717,3420,2.4757572080976314e-05,0.00045238034692108046,0.0002695552744249523
EC,TP8,40,Beta Low,-0.00017194915286804116,0.0002021745918136725,0.0010782662202890945,1900,2.423775641736143e-05,0.0003998821866984626,0.00023859586950608018
EC,TP8,40,Beta Medium,-0.00019007150414405118,0.0002174774217186067,0.0012141008714848676,1140,1.9418227369115007e-05,0.0004375431932180419,0.0002583107757459613
EC,TP8,40,Delta,-0.00023517095107121493,0.0002826321213441588,0.0018278821533865537,1330,2.0365700154568297e-05,0.0005740392559992594,0.00033562390365804353
