state,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,22.0,43,Beta High,-5.739521206912167e-05,0.00011335375779312798,0.0012795599118668893,11780,5.435114938004041e-05,0.0001789122115854475,0.00013107668610583647
EC,22.5,44,Beta High,-6.173566565840958e-05,0.00011972751886989562,0.0013637092558775863,11780,5.734827565884811e-05,0.00018903778910439283,0.00013853421101311442
EC,23.0,45,Beta High,-5.4159205213400785e-05,0.00012213674597139163,0.0013438483838742823,11780,5.6887665609949406e-05,0.00019463572415077184,0.00014147025962552796
EC,23.5,46,Beta High,-6.774191429919625e-05,0.0001304053483659445,0.001737527992743952,11780,5.4065665699309294e-05,0.00021522721799553923,0.00015108930419396578
EC,24.0,47,Beta High,-6.453203278908995e-05,0.00012170587845057625,0.0014582892609059591,11780,4.9825090732995944e-05,0.0002015734203589988,0.0001407756029631933
EC,24.5,48,Beta High,-6.903670376497454e-05,0.0001300676372945155,0.0016031793966411743,11780,4.983530429237966e-05,0.00021921467396355537,0.00015064662188729662
EC,25.0,49,Beta High,-7.107596197893994e-05,0.0001297255738460865,0.001616420255847813,11780,5.0978078966781795e-05,0.00021722279037864726,0.00015031021465798243
EC,25.5,50,Beta High,-6.676782032549119e-05,0.00012568957417622166,0.0015612004571811204,11780,5.201902143241682e-05,0.00020754574389156036,0.00014559450981422838
EC,26.0,51,Beta High,-8.654660201766897e-05,0.00014574060797831976,0.0022329260395797463,11780,4.6167667697411236e-05,0.0002563772082904403,0.00016959421821851736
EC,26.5,52,Beta High,-6.518389130753597e-05,0.00014164258207077806,0.0018890426039500933,11780,4.228554566124452e-05,0.000252039289192482,0.000164869095658369
EC,27.0,53,Beta High,-7.29478052852602e-05,0.0001536026771820808,0.002214906134387378,11780,3.7130775086619905e-05,0.0002830159017325929,0.00017946824754698588
EC,27.5,54,Beta High,-7.967147634168607e-05,0.00016450059400942218,0.002324947327512846,11780,3.6053801801832626e-05,0.000307219252017855,0.0001924840727339037
EC,28.0,55,Beta High,-6.829936035176198e-05,0.00015915074013589744,0.0024052967614378025,11780,3.665483534058697e-05,0.00029525730101957574,0.0001862188011974694
EC,28.5,56,Beta High,-7.111034948867968e-05,0.00014257750437814094,0.001917214381665856,11780,3.587691804838451e-05,0.00026113371141120364,0.0001663599396444306
EC,29.0,57,Beta High,-0.00010654798233254375,0.00016656202871930087,0.002554751137425828,11780,3.496287481019622e-05,0.0003127833108405283,0.00019513516571115368
EC,29.5,58,Beta High,-9.379676406319598e-05,0.00015655019604350287,0.00227402354942501,11780,3.525398042588006e-05,0.00029132376895197264,0.0001830001621030011
