state,edge_index,channel_i,channel_j,channel_i_index,channel_j_index,band,band_index,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution,network_group,interhemispheric
EC,282,AF4,P8,4,49,Beta Medium,4,-0.0006430228011248259,0.0015216265500803332,0.0017156691695678196,190,0.0018598248515786133,0.0011458506595266884,0.0015656051040545895,frontal|parietal,False
EC,808,FT7,O2,14,60,Beta High,5,0.00057335340425675,0.001521339178653768,0.0013799797858100404,190,0.0017371710782753793,0.0012815259568519776,0.0015818064272802887,frontal|occipital,True
EC,886,FC3,P4,16,47,Beta High,5,-0.0001924167341329708,0.0015212082333259551,0.0015715171839365703,190,0.001451260671565203,0.0015989277463934579,0.0016682311395112618,frontal|parietal,True
EC,176,FP2,O1,2,58,Beta Low,3,0.0005284367649380761,0.0015211323987569087,0.0019630694048523006,190,0.0017113263813899528,0.0013098057513868597,0.001490363087293033,frontal|occipital,True
EC,933,FC1,PO7,17,50,Beta Low,3,0.0003760204645650986,0.0015209397072818212,0.0019383594915578046,190,0.0014468693532944182,0.001603240100601158,0.001381503223418874,frontal|parietal,False
EC,116,FPZ,CB1,1,57,Beta Medium,4,-0.000794221512999101,0.0015209158489440965,0.001831780481970394,190,0.0012914450305106138,0.0017758834249812995,0.0016663612545668406,central|frontal,False
EC,636,F4,TP7,11,32,Beta Low,3,0.00041649169223475444,0.0015204192494580931,0.0020655550793823663,190,0.001675724867418424,0.0013478574517243925,0.0013436002764995372,frontal|temporal,True
EC,1566,CPZ,CP2,36,37,Beta Medium,4,-0.0007542382710596301,0.0015203240593668547,0.002205156843467097,190,0.0017980466339775603,0.0012117434209105151,0.0016082757121601496,central,False
EC,1263,C1,C4,26,29,Beta Low,3,0.0006369317261726793,0.0015199943122081643,0.0015686172362173734,190,0.0013040572038880262,0.0017599244325638731,0.0013189765805696634,central,True
EC,1290,C1,PO8,26,56,Beta High,5,0.0006292405021572131,0.0015194843873024236,0.0016883033908592414,190,0.00142472173912206,0.0016247762186139387,0.001546201246219949,central|parietal,True
