state,band,channel,node_importance,mean_signed_attribution
EC,Delta,CPZ,0.0008507907292723268,0.00010191041030724728
EC,Delta,FP2,0.0008454183020317062,7.549259825415799e-05
EC,Delta,F3,0.0008429480575673934,0.0001227315353911676
EC,Delta,F1,0.000842024051741689,0.00018796209917187084
EC,Delta,C4,0.0008418581216395391,0.0001428244281132978
EC,Delta,P2,0.0008414483940357622,8.384020699270096e-05
EC,Theta,C1,0.0008376199529343472,-1.2578115997358868e-05
EC,Delta,TP7,0.0008341005741808148,0.00014229864212011127
EC,Delta,F5,0.0008307464445434123,4.825708352289949e-05
EC,Delta,T7,0.0008296277215826789,0.00017786552307395273
EC,Delta,C5,0.0008269724975645224,0.0003038451534062825
EC,Delta,FC6,0.0008234312489593186,0.0002315205679968819
EO,Beta High,T7,1.9443346212497148e-05,-1.1532079723995435e-06
EO,Beta High,FC2,1.9439412276961724e-05,1.9852154560835117e-06
EO,Beta High,C5,1.8748910343771845e-05,7.10136562545839e-07
EO,Beta High,TP7,1.865431149354777e-05,1.0044999256742657e-06
EO,Beta High,TP8,1.864710563336573e-05,-3.332961613460424e-07
EO,Beta High,CP3,1.8330890608421096e-05,-9.037664285702969e-09
EO,Beta High,CZ,1.8263760632952075e-05,6.231600977793244e-07
EO,Beta High,CP5,1.817747857954953e-05,1.667832362408668e-06
EO,Beta High,FCZ,1.8089053353825416e-05,1.429286972405847e-06
EO,Beta High,C4,1.8088311188957846e-05,1.7255045773790773e-06
EO,Beta High,P2,1.808568846049295e-05,2.848270077100438e-06
EO,Beta High,CP1,1.8057174821131275e-05,-1.4952380779509516e-07
EO,Beta High,P8,1.7993156738641674e-05,8.525898641043378e-07
EO,Beta High,FZ,1.7990168403494273e-05,1.2435821459025286e-06
EO,Beta High,FT7,1.7978093519380844e-05,-2.418050012986537e-08
EO,Beta High,FC4,1.7973127846902334e-05,1.256414203892766e-06
EO,Beta High,CPZ,1.7885971060306698e-05,1.6483593947980707e-06
EO,Beta High,F4,1.7883518161043984e-05,2.1239540513657838e-06
EO,Beta High,T8,1.7844442134569815e-05,1.3408097138935464e-06
EO,Beta High,CP4,1.781179590751851e-05,2.11959321514256e-06
EO,Beta High,F2,1.779689261754363e-05,2.880125387097797e-06
EO,Beta High,C2,1.7747721401406464e-05,1.661600817185499e-06
EO,Beta High,P6,1.7737917195712748e-05,1.6689643537910278e-06
EO,Beta High,FPZ,1.7712280526097427e-05,8.511646877128724e-07
EO,Beta High,CP6,1.7667985148386667e-05,2.4313772969623234e-06
EO,Beta High,C6,1.7617908076734044e-05,2.2729580290219045e-06
EO,Beta High,F7,1.7600529579441176e-05,4.4255707864534593e-07
EO,Beta High,CP2,1.7600323979918903e-05,4.297068106533844e-06
EO,Beta High,C3,1.7579432899468377e-05,8.610804145209266e-07
EO,Beta High,FP2,1.7505640694672218e-05,2.480260000089969e-06
EO,Beta High,C1,1.7412648160025674e-05,1.2127538069997244e-07
EO,Beta High,P1,1.73156935158826e-05,1.4244230417878193e-06
EO,Beta High,F1,1.722596415043512e-05,-1.4836366663214584e-06
EO,Beta High,P4,1.7165270583179736e-05,2.1045589098349683e-06
EO,Beta High,PO7,1.714707915219867e-05,2.603162318847038e-06
EO,Beta High,PZ,1.7126987828884055e-05,2.983319587067385e-06
EO,Beta High,P7,1.7069011521765938e-05,1.7986859496044914e-06
EO,Beta High,F6,1.6985776113973382e-05,2.958061863235877e-06
EO,Beta High,AF4,1.6979468742865562e-05,1.3884159181628868e-06
EO,Beta High,PO5,1.6881075504288985e-05,2.8786601787433348e-06
EO,Beta High,POZ,1.679113273586712e-05,3.9649391085497e-06
EO,Beta High,P3,1.6785797551840193e-05,3.4438628041291606e-06
EO,Beta High,P5,1.6724355296453084e-05,3.976815987388279e-06
EO,Beta High,FC1,1.670876500949815e-05,1.7421388893554198e-06
EO,Beta High,FT8,1.6484823346508695e-05,3.5445299860565665e-08
EO,Beta High,FC6,1.6431530339685988e-05,3.371109590793327e-06
EO,Beta High,PO4,1.628545373279819e-05,3.0602326995247696e-06
EO,Beta High,PO3,1.6240921390507006e-05,2.916491078616242e-06
EO,Beta High,F8,1.6172497971041105e-05,7.221789777636921e-07
EO,Theta,PZ,1.6076909822977692e-05,-3.7035755653716905e-06
EO,Beta High,CB2,1.6074325208456585e-05,2.3259247128996645e-06
