state,channel,channel_index,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,PO3,52,28.0,55,Beta High,-0.00018641571273307625,0.00021975015919920067,0.002444726753804561,190,3.294175828060416e-05,0.0004273150491087523,0.000258717066719908
EC,F8,13,3.5,6,Delta,0.0001883358149907093,0.00021968270129013936,0.002578126857648092,190,2.556637265456306e-05,0.0004353675108852242,0.00025937690781686554
EO,TP8,40,1.0,1,Delta,-1.4867285054114709e-05,0.00021955046842779923,0.00028512561664768827,190,0.00026469255464686594,0.00016939259485105845,0.0002393907076935747
EC,PZ,45,17.0,33,Beta Low,-0.0001907537900153094,0.00021953217193817844,0.0025495924396625857,190,3.668963497522423e-05,0.000422690546341461,0.00025770586782798244
EC,C4,29,16.0,31,Beta Low,-0.0001981600569801735,0.00021931242534630146,0.00198643167797821,190,9.088295135621351e-05,0.0003620118408908436,0.00025853165913633687
EC,O1,58,28.0,55,Beta High,-0.00018107313836327802,0.00021925379798641253,0.0024703482649899226,190,3.680556829114684e-05,0.00042197405320337447,0.00025708815778469605
EC,CPZ,36,21.0,41,Beta High,-0.00019504339217006698,0.0002186798488944573,0.0026064315689022888,190,2.368131507596172e-05,0.00043534488647056357,0.0002574388580518264
EC,F8,13,15.5,30,Beta Low,-0.00019320685535816618,0.00021867288049496854,0.002628136815361594,190,2.336526911836397e-05,0.00043568133758008475,0.00025938481494929016
EC,CP2,37,24.0,47,Beta High,-0.00019502125041982445,0.00021863277158251998,0.0025692212626409468,190,2.9631801541914e-05,0.00042863384940541557,0.00025788475844040775
EC,C4,29,37.0,73,Gamma,-0.0001936635304333663,0.00021862389665713858,0.0018598652615063945,190,8.981310008041949e-05,0.00036174700396460424,0.0002577826328459779
EC,PO5,51,14.0,27,Beta Low,-0.00017740108965870545,0.00021857121076878722,0.0024687860890816996,190,3.0951805774797196e-05,0.000427037216317665,0.0002585104497107472
EC,FZ,9,42.0,83,Gamma,-0.0001925631881133471,0.0002184967532865142,0.00257004424842695,190,3.212496525865166e-05,0.00042557651776191705,0.0002557554821037736
EC,CP2,37,20.5,40,Beta Medium,-0.00019210355474749593,0.00021812115855945573,0.0025339762012667535,190,2.1424341836560154e-05,0.00043667317714045085,0.000257980736110968
EC,FZ,9,43.5,86,Gamma,-0.0001863595615231814,0.00021809476961101636,0.0025484331715598376,190,2.8974541806393747e-05,0.000428228356060597,0.0002557627573130219
EC,T8,31,14.5,28,Beta Low,-0.00019266577598823391,0.000218010666510386,0.0025085955860964532,190,3.707802365086489e-05,0.0004190469363542984,0.00025577819559757055
EO,CZ,27,39.0,77,Gamma,0.00010033384858114996,0.00021789157586321923,0.0002253004419371212,190,0.0002355708534195908,0.0001982479341339175,0.00020395205443726844
EC,F8,13,22.0,43,Beta High,-0.00016058447520400797,0.00021788556727336578,0.0023977480188887798,190,2.5515459764491478e-05,0.00043163013117211507,0.000256774302022284
EC,PO5,51,8.5,16,Alpha,-0.0001998328349391278,0.00021780172034641899,0.0018828004727071742,190,0.0001343533515361511,0.00031052213013560545,0.0002577743298803225
EC,C4,29,40.5,80,Gamma,-0.00019239752657799109,0.0002177602710237704,0.001668776022536615,190,0.00012117130293490665,0.0003250813466780635,0.0002585111568069475
EC,OZ,59,28.5,56,Beta High,-0.0001859455913801398,0.00021734147562626368,0.0025628243254113064,190,2.7879722958021894e-05,0.00042785453414653237,0.00025548319056834
EC,PO5,51,24.0,47,Beta High,-0.0001759479181663736,0.00021716545283538097,0.0024845751613693135,190,3.362191451940775e-05,0.0004211027176309068,0.00025533419766849487
EC,O1,58,27.5,54,Beta High,-0.00018261121365449164,0.0002169109074862158,0.0024668953871478097,190,3.8756273528063866e-05,0.00041486050077305125,0.0002541493276432425
EC,FT8,22,5.0,9,Theta,0.0001859494317671682,0.00021658923426955303,0.0025789909851521666,190,1.799327999657191e-05,0.0004372514056839765,0.0002552650423047538
EC,FC1,17,33.5,66,Gamma,-0.00019898008195842488,0.0002165197837112287,0.002605645901600957,190,1.8454852910262477e-05,0.0004365919290456356,0.0002543900536409134
EC,TP8,40,27.0,53,Beta High,-0.00017982507276752507,0.0002164947075179626,0.0011122966262934921,190,2.371403993237039e-05,0.0004306954492797317,0.00025658257408832976
EC,C4,29,43.5,86,Gamma,-0.00019179320441905107,0.0002164496747539524,0.0017360090874748812,190,0.00011273463650865269,0.0003316886061376188,0.0002564377274621941
